FEATURE,UPPER THRESHOLD
Delta-EDM0,150
Theta-EDM0,300
Alpha-EDM0,400
Beta-EDM0,500
Gamma-EDM0,400
HGamma-EDM0,500
Delta-EDM2,150
Theta-EDM2,250
Alpha-EDM2,350
Beta-EDM2,500
Gamma-EDM2,400
HGamma-EDM2,350
Delta-EDM4,100
Theta-EDM4,300
Alpha-EDM4,350
Beta-EDM4,450
Gamma-EDM4,450
HGamma-EDM4,350
Delta-EDM6,100
Theta-EDM6,350
Alpha-EDM6,400
Beta-EDM6,450
Gamma-EDM6,450
HGamma-EDM6,350
Delta-EDM8,75
Theta-EDM8,250
Alpha-EDM8,300
Beta-EDM8,400
Gamma-EDM8,300
HGamma-EDM8,200
